Team,Players,90s,Yellow_Cards,Red_Cards,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Progression,yellow_cards_per_90,FBref_Source,Progression_Source
New Zealand,17,3.0,4,0,0,32,24,4,44,24,21,Group-stage eliminated,1.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Norway,25,6.3,3,0,0,58,41,5,78,44,67,Knockout,0.4761904761904762,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Panama,20,3.0,5,0,0,46,33,6,59,15,27,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Paraguay,24,5.3,9,1,0,66,60,5,43,53,88,Knockout,1.6981132075471699,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Portugal,22,5.0,7,0,0,44,60,10,92,30,39,Knockout,1.4,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Qatar,22,3.0,4,2,0,36,28,4,28,25,24,Group-stage eliminated,1.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Saudi Arabia,18,3.0,6,0,0,29,26,3,22,29,36,Group-stage eliminated,2.0,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Scotland,20,3.0,5,0,0,42,39,2,50,17,25,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Senegal,22,4.3,3,0,0,36,48,10,79,31,29,Knockout,0.6976744186046512,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
South Africa,19,4.0,5,2,0,38,46,8,41,47,38,Knockout,1.25,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Spain,22,8.3,6,0,0,101,89,21,165,64,88,Knockout,0.7228915662650601,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Sweden,22,4.0,5,0,0,43,49,9,59,31,30,Knockout,1.25,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Switzerland,23,6.7,8,1,1,87,89,13,111,52,52,Knockout,1.1940298507462686,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Tunisia,20,3.0,1,0,0,27,32,9,36,27,36,Group-stage eliminated,0.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Türkiye,23,3.0,2,0,0,31,38,7,79,18,39,Group-stage eliminated,0.6666666666666666,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
USA,24,5.0,7,1,0,56,66,11,74,60,42,Knockout,1.4,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Uruguay,17,3.0,5,1,0,31,29,14,92,32,25,Group-stage eliminated,1.6666666666666667,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
Uzbekistan,23,3.0,4,0,0,45,29,3,37,33,39,Group-stage eliminated,1.3333333333333333,https://fbref.com/en/comps/1/misc/World-Cup-Stats,https://fbref.com/en/comps/1/2026/2026-World-Cup-Stats
